id_knjige,naslov,avtor,povp_ocena,st_ocen,st_recenzij,leto_izdaje,st_strani,jezik,st_trenutnih_bralcev,zanri
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,4.36,259376,20542,2014,464,English,114900,"Nonfiction, Psychology, Self Help, Mental Health, Health, Science, Audiobook, Personal Development, Counselling, Medicine"
1317696,The Enchantress of Florence,Salman Rushdie,3.61,19330,2256,2008,359,English,1121,"Fiction, Historical Fiction, Magical Realism, Fantasy, India, Literature, Italy, Historical, Book Club, Literary Fiction"
13362536,"Opal (Lux, #3)",Jennifer L. Armentrout,4.23,157643,10666,2012,394,,3318,"Young Adult, Fantasy, Romance, Paranormal, Aliens, Science Fiction, Paranormal Romance, Supernatural, Urban Fantasy, Fiction"
22206,Lullaby,Chuck Palahniuk,3.74,102705,3808,2003,260,English,1520,"Fiction, Horror, Contemporary, Fantasy, Thriller, Novels, American, Dark, Mystery, Adult"
13888,"Knife of Dreams (The Wheel of Time, #11)",Robert Jordan,4.2,144826,4341,2006,860,English,4752,"Fantasy, Fiction, Epic Fantasy, Audiobook, High Fantasy, Science Fiction Fantasy, Epic, Adventure, Magic, Adult"
2815590,Serena,Ron Rash,3.55,36835,4497,2008,371,English,1475,"Historical Fiction, Fiction, Book Club, Historical, Southern, Adult, Adult Fiction, Southern Gothic, Literary Fiction, Audiobook"
34534,"The Amazing Maurice and His Educated Rodents (Discworld, #28)",Terry Pratchett,4.08,51583,2518,2001,256,English,1285,"Fantasy, Fiction, Humor, Young Adult, Childrens, Audiobook, Comedy, Animals, Science Fiction Fantasy, Cats"
9912994,"Damned (Damned, #1)",Chuck Palahniuk,3.41,57891,4560,2011,256,English,2412,"Fiction, Fantasy, Horror, Humor, Audiobook, Contemporary, Comedy, Adult, Novels, Supernatural"
52879286,Humankind: A Hopeful History,Rutger Bregman,4.32,76134,8202,2020,462,English,11077,"Nonfiction, History, Psychology, Philosophy, Science, Audiobook, Politics, Sociology, Society, Anthropology"
256598,"Curse of the Bane (The Last Apprentice / Wardstone Chronicles, #2)",Joseph Delaney,4.13,32387,1368,2006,480,English,699,"Fantasy, Young Adult, Horror, Fiction, Magic, Paranormal, Middle Grade, Audiobook, Adventure, Witches"
6449551,The Brutal Telling (Chief Inspector Armand Gamache #5),Louise Penny,4.23,93803,7078,2009,372,English,7260,"Mystery, Fiction, Audiobook, Crime, Canada, Mystery Thriller, Adult, Detective, Murder Mystery, Adult Fiction"
